CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,SUPERFICIE,LAT,LONG,ANYO,Z_SAT,I_MUN,POBR,FD_1,FD_2,FD_3,FD_4,FD_5,CFD_1,CFD_2,CFD_3,CFD_4,CFD_5,CFD_6,CFD_7,CFD_8,CFD_9,CFD_10,CFD_11,CFD_12,POB_M,POB_H,POB_1,POB_2,POB_3,TESV,ESV,EMI,TEMI,EMP,TEMP,EMM,TEMM,EMG,TEMG,S_AG,S_BA,S_CO,S_HR,S_OR,
1,11,1101,Tarapacá,Iquique,Iquique,2289.53,-20.9244,-70.0483,2014,0,"66,945,540,164",0.06,9.7, -   , -   ,8, -   , -   ,1, -   , -   , -   , -   ,7,9.7, -   , -   , -   , -   ,95767,97876,41926,135417,16300,4878,1519,8534,6116,2782,24040,680,21207,366,26258,333,7089,7007,746,11022,#N/A
1,11,1107,Tarapacá,Iquique,Alto_Hospicio,571.19,-20.1898,-70.0122,2014,0,"18,309,335,758",0.1, -   ,40.3, -   ,3, -   , -   ,2.19,0,32.1, -   , -   ,7.89,0.54,0.53,0.02,0.02, -   ,51208,52414,30208,69425,3989,154,247,2857,1857,476,4224,71,3751,19,3466,12,2709,3086,0,4604,
1,14,1401,Tarapacá,Tamarugal,Pozo_Almonte,13765.8,-20.7718,-69.5079,2014,0,"6,920,786,002",0.12,44.26,13.87, -   ,1, -   , -   ,3.16,0.01,46.3, -   , -   ,8.06,0.78,0.76,0.03,0.04, -   ,6666,7362,3666,9326,1036,95,55,547,776,105,963,8,247,8,2003,15,223,159,0,1772,
1,14,1402,Tarapacá,Tamarugal,Camina,2199.83,-19.3701,-69.5012,2014,0,"3,110,241,657",0.35,0.05, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.05, -   , -   , -   , -   ,614,653,315,767,185,79,3,64,5,6,19,0,0,0,0,,,,,,
1,14,1403,Tarapacá,Tamarugal,Colchane,4007.84,-19.3544,-68.845,2014,0,"3,317,695,221",0.34,0.53, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.53, -   , -   , -   , -   ,718,779,312,966,219,0,8,20,108,0,0,0,0,0,0,,,,,,
1,14,1404,Tarapacá,Tamarugal,Huara,10472.5,-19.6016,-69.6635,2014,0,"5,231,878,862",0.22,0.15, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.15, -   , -   , -   , -   ,1268,1386,656,1626,372,229,10,114,16,5,50,1,31,1,1,2,71,56,0,403,
1,14,1405,Tarapacá,Tamarugal,Pica,8982.12,-20.4809,-68.913,2014,0,"7,504,448,644",0.2,38.68,162.36, -   , -   , -   , -   ,10.94,0.02,160.12, -   , -   ,24.4,2.7,2.63,0.1,0.12, -   ,2449,2518,1191,3118,658,7,27,305,93,30,563,0,0,0,0,,,,,,
2,21,2101,Antofagasta,Antofagasta,Antofagasta,30683.5,-24.2783,-69.4052,2014,0,"80,780,451,390",0.04, -   ,15.46, -   ,10, -   , -   ,1.84,0,12.31,1, -   ,9.88,0.21,0.2,0.01,0.01, -   ,179605,183602,81397,255374,26436,6526,2502,12081,6432,3977,29792,586,28261,238,56906,19,8708,2143,235,2193,
2,21,2102,Antofagasta,Antofagasta,Mejillones,3576.07,-22.9477,-70.2032,2014,0,"9,536,508,723",0.07, -   ,0.24, -   ,1, -   , -   ,0.01,0,0.19, -   , -   ,1.03,0,0,0,0, -   ,5643,6307,2771,8500,679,442,60,366,182,145,1342,14,322,9,625,54,736,30,4,129,
2,21,2103,Antofagasta,Antofagasta,Sierra_Gorda,12883,-23.2603,-69.3089,2014,0,"7,144,936,605",0.14,0.13, -   , -   , -   , -   , -   ,0.01,0,0.11, -   , -   ,0.02,0,0,0,0, -   ,708,811,350,1098,71,157,4,77,28,28,221,3,146,1,1073,,,,,,
