 content , style ,  Learning rate , step , kadinsky 
 1 ," 1,000,000 ", 0.10 , 500 ," 801,894 "
 1 ," 1,000,000 ", 0.01 , 500 ," 6,807,147 "
 1 ," 1,000,000 ", 0.003 , 500 ," 29,468,736 "
 1 ," 1,000,000 ", 0.10 ," 1,000 "," 389,071 "
 1 ," 1,000,000 ", 0.01 ," 1,000 "," 2,519,610 "
 1 ," 1,000,000 ", 0.003 ," 1,000 "," 11,348,930 "
 1 ," 1,000,000 ", 0.10 ," 2,000 "," 2,615,509 "
 1 ," 1,000,000 ", 0.01 ," 2,000 "," 836,722 "
 1 ," 1,000,000 ", 0.003 ," 2,000 "," 4,076,544 "
 1 , 100 , 0.10 , 500 , 81 
 1 , 100 , 0.01 , 500 , 694 
 1 , 100 , 0.003 , 500 ," 2,956 "
 1 , 100 , 0.10 ," 1,000 ", 52 
 1 , 100 , 0.01 ," 1,000 ", 266 
 1 , 100 , 0.003 ," 1,000 "," 1,147 "
 1 , 100 , 0.10 ," 2,000 ",
 1 , 100 , 0.01 ," 2,000 ",
 1 , 100 , 0.003 ," 2,000 ", 420 
 1 , 0.01 , 0.10 , 500 , 1 
 1 , 0.01 , 0.01 , 500 , 1 
 1 , 0.01 , 0.003 , 500 , 1 
 1 , 0.01 , 0.10 ," 1,000 ", 0 
 1 , 0.01 , 0.01 ," 1,000 ", 0 
 1 , 0.01 , 0.003 ," 1,000 ", 1 
 1 , 0.01 , 0.10 ," 2,000 ", 0 
 1 , 0.01 , 0.01 ," 2,000 ", 0 
 1 , 0.01 , 0.003 ," 2,000 ", 1 
 100 ," 1,000,000 ", 0.10 , 500 ,
 100 ," 1,000,000 ", 0.01 , 500 ,
 100 ," 1,000,000 ", 0.003 , 500 ," 29,469,278 "
 100 ," 1,000,000 ", 0.10 ," 1,000 ",
 100 ," 1,000,000 ", 0.01 ," 1,000 ",
 100 ," 1,000,000 ", 0.003 ," 1,000 "," 11,347,622 "
 100 ," 1,000,000 ", 0.10 ," 2,000 ",
 100 ," 1,000,000 ", 0.01 ," 2,000 ",
 100 ," 1,000,000 ", 0.003 ," 2,000 "," 4,073,320 "
 100 , 100 , 0.10 , 500 , 570 
 100 , 100 , 0.01 , 500 ," 1,367 "
 100 , 100 , 0.003 , 500 ," 3,760 "
 100 , 100 , 0.10 ," 1,000 ", 574 
 100 , 100 , 0.01 ," 1,000 ",
 100 , 100 , 0.003 ," 1,000 ",
 100 , 100 , 0.10 ," 2,000 ",
 100 , 100 , 0.01 ," 2,000 ",
 100 , 100 , 0.003 ," 2,000 ",
 100 , 0.0 , 0.10 , 500 , 5 
 100 , 0.0 , 0.01 , 500 , 5 
 100 , 0.0 , 0.003 , 500 , 5 
 100 , 0.0 , 0.10 ," 1,000 ", 5 
 100 , 0.0 , 0.01 ," 1,000 ", 3 
 100 , 0.0 , 0.003 ," 1,000 ", 4 
 100 , 0.0 , 0.10 ," 2,000 ", 3 
 100 , 0.0 , 0.01 ," 2,000 ", 3 
 100 , 0.0 , 0.003 ," 2,000 ", 3 
,,,,
